start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_pos_mix,teamB_no,teamB_name,lineupB_players,lineupB_pos_mix,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,58,1,10:00:00,1,06:18:00,1,TOFAS,"[66, 88, 89, 91, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 95, 96, 99]",Unknownx5,8,10,10,0,125.0,125.0,8,10,10,0,125.0,125.0,0,0,12,8
58.1,59,1,06:18:00,1,06:18:00,1,TOFAS,"[66, 88, 89, 91, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 95, 99]",Unknownx4,0,0,0,0,,,0,0,0,0,,,12,8,12,8
59.1,79,1,06:18:00,1,04:33:00,1,TOFAS,"[66, 88, 89, 91, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,3,2,4,-2,66.66666666666667,133.33333333333334,3,4,2,2,133.33333333333334,66.66666666666667,12,8,14,13
79.1,80,1,04:33:00,1,04:33:00,1,TOFAS,"[88, 89, 91, 93]",Unknownx4,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
80.1,81,1,04:33:00,1,04:33:00,1,TOFAS,"[88, 89, 91, 93]",Unknownx4,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
81.1,82,1,04:33:00,1,04:33:00,1,TOFAS,"[88, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
82.1,83,1,04:33:00,1,04:33:00,1,TOFAS,"[55, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
83.1,84,1,04:33:00,1,04:33:00,1,TOFAS,"[55, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 77, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
84.1,85,1,04:33:00,1,04:33:00,1,TOFAS,"[55, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 93, 95, 96, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
85.1,86,1,04:33:00,1,04:33:00,1,TOFAS,"[55, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[92, 93, 95, 96, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
86.1,101,1,04:20:00,1,03:15:00,1,TOFAS,"[55, 89, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[93, 95, 96, 97, 99]",Unknownx5,3,0,0,0,0.0,0.0,4,0,0,0,0.0,0.0,14,13,14,13
101.1,102,1,03:15:00,1,03:15:00,1,TOFAS,"[55, 91, 92, 93]",Unknownx4,2,FENERBAHÇE BEKO,"[93, 95, 96, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
102.1,103,1,03:15:00,1,03:15:00,1,TOFAS,"[55, 90, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[93, 95, 96, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
103.1,104,1,03:15:00,1,03:15:00,1,TOFAS,"[55, 90, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 95, 96, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,13,14,13
104.1,121,1,03:15:00,1,02:32:00,1,TOFAS,"[55, 90, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 96, 97, 99]",Unknownx5,2,0,2,-2,0.0,66.66666666666667,3,2,0,2,66.66666666666667,0.0,14,13,14,16
121.1,122,1,02:32:00,1,02:32:00,1,TOFAS,"[55, 90, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,16,14,16
122.1,134,1,02:21:00,1,01:46:00,1,TOFAS,"[55, 90, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 95, 99]",Unknownx5,1,2,0,2,200.0,0.0,1,0,2,-2,0.0,200.0,14,16,14,18
134.1,135,1,01:46:00,1,01:46:00,1,TOFAS,"[55, 66, 91, 92, 93]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,14,18,14,18
135.1,149,1,01:44:00,1,01:01:00,1,TOFAS,"[55, 66, 92, 93, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 95, 99]",Unknownx5,2,1,0,1,50.0,0.0,2,0,1,-1,0.0,50.0,14,18,16,18
149.1,150,1,01:01:00,1,01:01:00,1,TOFAS,"[55, 66, 89, 93, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,16,18,16,18
150.1,201,1,00:48:30,2,08:53:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 95, 99]",Unknownx5,5,2,2,0,40.0,40.0,5,2,2,0,40.0,40.0,16,18,20,18
201.1,202,2,08:53:00,2,08:53:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[76, 89, 90, 92, 95]",Unknownx5,0,0,0,0,,,0,0,0,0,,,20,18,20,18
202.1,210,2,08:53:00,2,08:45:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[89, 90, 92, 95, 99]",Unknownx5,1,0,0,0,0.0,0.0,1,0,0,0,0.0,0.0,20,18,20,19
210.1,211,2,08:45:00,2,08:45:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[90, 92, 93, 95, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,20,19,20,19
211.1,219,2,08:33:00,2,08:33:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 92, 93, 95, 99]",Unknownx5,0,0,1,-1,,100.0,1,1,0,1,100.0,,20,19,22,19
219.1,220,2,08:33:00,2,08:33:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 93, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,22,19,22,19
220.1,245,2,08:18:00,2,07:28:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 95, 96, 97, 99]",Unknownx5,4,1,0,1,25.0,0.0,4,0,1,-1,0.0,25.0,22,19,23,19
245.1,246,2,07:28:00,2,07:28:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 96, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,19,23,19
246.1,255,2,07:25:00,2,06:54:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,1,0,0,0,0.0,0.0,1,0,0,0,0.0,0.0,23,19,23,22
255.1,256,2,06:54:00,2,06:54:00,1,TOFAS,"[55, 66, 67, 89]",Unknownx4,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,22,23,22
256.1,257,2,06:54:00,2,06:54:00,1,TOFAS,"[55, 66, 67, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,22,23,22
257.1,258,2,06:54:00,2,06:54:00,1,TOFAS,"[55, 67, 89, 94]",Unknownx4,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,22,23,22
258.1,266,2,06:54:00,2,06:39:00,1,TOFAS,"[55, 67, 88, 89, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,1,1,0,1,100.0,0.0,1,0,1,-1,0.0,100.0,23,22,23,23
266.1,267,2,06:39:00,2,06:39:00,1,TOFAS,"[55, 88, 89, 92, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,23,23,23
267.1,268,2,06:39:00,2,06:39:00,1,TOFAS,"[55, 88, 89, 92, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,23,23,23
268.1,269,2,06:39:00,2,06:39:00,1,TOFAS,"[55, 66, 88, 92, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,23,23,23,23
269.1,280,2,06:39:00,2,06:30:00,1,TOFAS,"[55, 66, 91, 92, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,1,0,1,-1,0.0,100.0,1,1,0,1,100.0,0.0,23,23,24,23
280.1,281,2,06:30:00,2,06:30:00,1,TOFAS,"[55, 66, 91, 94]",Unknownx4,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,0,0,0,0,,,0,0,0,0,,,24,23,24,23
281.1,288,2,06:30:00,2,06:12:00,1,TOFAS,"[55, 66, 91, 93, 94]",Unknownx5,2,FENERBAHÇE BEKO,"[77, 90, 95, 97, 99]",Unknownx5,1,1,0,1,100.0,0.0,2,0,1,-1,0.0,100.0,24,23,24,24
