team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group
1,TOFAS,TOF,89,A. Perez,2,,
1,TOFAS,TOF,57,E. Postel,6,,
1,TOFAS,TOF,90,H. Besson,25,,
1,TOFAS,TOF,93,J. Thomasson Jr,32,,
1,TOFAS,TOF,56,K. Efeoglu,16,,
1,TOFAS,TOF,88,M. Blazevic,22,,
1,TOFAS,TOF,91,M. Lewis Iii,21,,
1,TOFAS,TOF,92,S. Whaley,5,,
1,TOFAS,TOF,55,T. Geçim,8,,
1,TOFAS,TOF,94,W. Kidd Jr,15,,
1,TOFAS,TOF,66,Y. Saybir,3,,
1,TOFAS,TOF,67,Ö. Cengiz,1,,
2,FENERBAHÇE BEKO,FBB,99,A. Bacot Jr,00,,
2,FENERBAHÇE BEKO,FBB,90,A. Zagars,32,,
2,FENERBAHÇE BEKO,FBB,97,B. Boston Jr,11,,
2,FENERBAHÇE BEKO,FBB,93,B. Colson Ii,50,,
2,FENERBAHÇE BEKO,FBB,80,D. Demir,9,,
2,FENERBAHÇE BEKO,FBB,95,D. Hall,20,,
2,FENERBAHÇE BEKO,FBB,77,J. Birsen,1,,
2,FENERBAHÇE BEKO,FBB,78,M. Eksioglu,5,,
2,FENERBAHÇE BEKO,FBB,76,M. Mahmutoglu,10,,
2,FENERBAHÇE BEKO,FBB,92,N. Melli,4,,
2,FENERBAHÇE BEKO,FBB,89,O. Bitim,17,,
2,FENERBAHÇE BEKO,FBB,96,T. Tucker,8,,
