possession_id,period,start_action,end_action,start_clock,end_clock,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,10:00:00,09:59:00,,,0,0,,0
1,1,9,9,09:49:00,09:49:00,2.0,score,2,0,FENERBAHÇE BEKO,2
2,1,10,10,09:30:00,09:30:00,1.0,score,2,0,TOFAS,2
3,1,11,12,09:30:00,09:14:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
4,1,13,13,09:11:00,09:11:00,1.0,def_reb,0,0,TOFAS,0
5,1,14,14,08:53:00,08:53:00,2.0,score,2,2,FENERBAHÇE BEKO,0
6,1,15,16,08:53:00,08:30:00,1.0,score,2,2,TOFAS,0
7,1,17,20,08:30:00,07:57:00,2.0,score,2,2,FENERBAHÇE BEKO,0
8,1,21,26,07:39:00,07:27:00,1.0,def_reb,0,0,TOFAS,0
9,1,27,27,07:27:00,07:27:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
10,1,28,31,07:27:00,07:24:00,1.0,score,2,2,TOFAS,0
11,1,32,34,07:24:00,07:12:00,2.0,score,2,2,FENERBAHÇE BEKO,0
12,1,35,40,07:12:00,07:11:00,1.0,score,2,0,TOFAS,2
13,1,41,41,06:56:00,06:56:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
14,1,42,42,06:54:00,06:54:00,1.0,def_reb,0,0,TOFAS,0
15,1,44,49,06:49:00,06:34:00,2.0,score,2,2,FENERBAHÇE BEKO,0
16,1,51,54,06:33:00,06:18:00,1.0,score,2,2,TOFAS,0
17,1,55,60,06:18:00,06:18:00,2.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
18,1,63,63,06:08:00,06:08:00,1.0,turnover,0,0,TOFAS,0
19,1,66,69,05:52:00,05:37:00,2.0,score,2,0,FENERBAHÇE BEKO,2
20,1,70,70,05:14:00,05:14:00,1.0,def_reb,0,0,TOFAS,0
21,1,71,71,05:11:00,05:11:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
22,1,72,72,05:09:00,05:09:00,1.0,score,2,2,TOFAS,0
23,1,73,74,05:09:00,04:49:00,2.0,score,2,2,FENERBAHÇE BEKO,0
24,1,75,88,04:49:00,04:20:00,1.0,def_reb,0,0,TOFAS,0
25,1,89,89,04:18:00,04:18:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
26,1,90,90,04:11:00,04:11:00,1.0,def_reb,0,0,TOFAS,0
27,1,92,92,04:08:00,04:08:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
28,1,94,94,03:44:00,03:44:00,1.0,def_reb,0,0,TOFAS,0
29,1,95,95,03:39:00,03:39:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
30,1,96,96,03:27:00,03:27:00,1.0,def_reb,0,0,TOFAS,0
31,1,97,97,03:24:00,03:24:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
32,1,99,105,03:15:00,03:15:00,1.0,made_ft,1,1,TOFAS,0
33,1,106,106,03:15:00,03:15:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
34,1,107,107,03:15:00,03:15:00,1.0,def_reb,0,0,TOFAS,0
35,1,109,109,02:59:00,02:59:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
36,1,110,110,02:56:00,02:56:00,1.0,def_reb,0,0,TOFAS,0
37,1,111,111,02:50:00,02:50:00,2.0,score,2,0,FENERBAHÇE BEKO,2
38,1,116,124,02:35:00,02:21:00,1.0,def_reb,0,0,TOFAS,0
39,1,125,125,02:18:00,02:18:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
40,1,126,130,02:07:00,02:01:00,1.0,score,2,2,TOFAS,0
41,1,132,140,01:46:00,01:44:00,2.0,made_ft,1,1,FENERBAHÇE BEKO,0
42,1,141,141,01:44:00,01:44:00,1.0,made_ft_last,1,0,TOFAS,1
43,1,143,143,01:22:00,01:22:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
44,1,144,144,01:19:00,01:19:00,1.0,def_reb,0,0,TOFAS,0
45,1,148,148,01:01:00,01:01:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
46,1,149,152,01:01:00,00:48:30,1.0,def_reb,0,0,TOFAS,0
47,1,153,153,00:45:90,00:45:90,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
48,1,154,154,00:37:20,00:37:20,1.0,turnover,0,0,TOFAS,0
49,1,155,156,00:37:20,00:13:50,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
50,1,157,157,00:10:70,00:10:70,1.0,def_reb,0,0,TOFAS,0
51,1,159,159,00:02:50,00:02:50,2.0,score,2,2,FENERBAHÇE BEKO,0
52,1,162,165,00:00:00,09:59:00,1.0,def_reb,0,0,TOFAS,0
53,2,166,166,09:56:00,09:56:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
54,2,169,169,09:48:00,09:48:00,1.0,def_reb,0,0,TOFAS,0
55,2,170,170,09:43:00,09:43:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
56,2,171,171,09:32:00,09:32:00,1.0,score,2,0,TOFAS,2
57,2,172,203,09:32:00,08:53:00,2.0,made_ft,1,0,FENERBAHÇE BEKO,1
58,2,204,204,08:53:00,08:53:00,1.0,def_reb,0,0,TOFAS,0
59,2,206,206,08:53:00,08:53:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
60,2,208,216,08:45:00,08:33:00,1.0,made_ft,1,0,TOFAS,1
61,2,217,218,08:33:00,08:33:00,2.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
62,2,219,222,08:33:00,08:18:00,1.0,def_reb,0,0,TOFAS,0
63,2,224,224,08:16:00,08:16:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
64,2,225,228,08:16:00,08:08:00,1.0,def_reb,0,0,TOFAS,0
65,2,229,229,08:06:00,08:06:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
66,2,231,233,07:56:00,07:56:00,1.0,def_reb,0,0,TOFAS,0
67,2,234,234,07:56:00,07:56:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
68,2,235,235,07:56:00,07:56:00,1.0,made_ft_last,1,0,TOFAS,1
69,2,236,241,07:56:00,07:29:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
70,2,242,242,07:28:00,07:28:00,1.0,def_reb,0,0,TOFAS,0
71,2,243,248,07:28:00,07:25:00,2.0,score,3,0,FENERBAHÇE BEKO,3
72,2,249,250,07:25:00,07:00:00,1.0,def_reb,0,0,TOFAS,0
73,2,251,251,06:58:00,06:58:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
74,2,253,259,06:54:00,06:54:00,1.0,def_reb,0,0,TOFAS,0
75,2,260,260,06:54:00,06:54:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
76,2,261,261,06:54:00,06:54:00,1.0,made_ft_last,1,1,TOFAS,0
77,2,264,270,06:39:00,06:39:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
78,2,271,271,06:39:00,06:39:00,1.0,def_reb,0,0,TOFAS,0
79,2,272,272,06:39:00,06:39:00,2.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
80,2,273,282,06:39:00,06:30:00,1.0,def_reb,0,0,TOFAS,0
81,2,283,283,06:30:00,06:30:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
82,2,284,284,06:30:00,06:30:00,1.0,made_ft_last,1,1,TOFAS,0
