team_no,team_name,start_action,end_action,players_on_court,lineup_pos_mix,lineup_size,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TOFAS,1.0,79,"[66, 88, 89, 91, 93]",Unknownx5,5,1,10:00:00,1,04:33:00,0,0,14,13
1,TOFAS,79.1,80,"[88, 89, 91, 93]",Unknownx4,4,1,04:33:00,1,04:33:00,14,13,14,13
1,TOFAS,80.1,81,"[88, 89, 91, 93]",Unknownx4,4,1,04:33:00,1,04:33:00,14,13,14,13
1,TOFAS,81.1,82,"[88, 89, 91, 92, 93]",Unknownx5,5,1,04:33:00,1,04:33:00,14,13,14,13
1,TOFAS,82.1,101,"[55, 89, 91, 92, 93]",Unknownx5,5,1,04:33:00,1,03:15:00,14,13,14,13
1,TOFAS,101.1,102,"[55, 91, 92, 93]",Unknownx4,4,1,03:15:00,1,03:15:00,14,13,14,13
1,TOFAS,102.1,134,"[55, 90, 91, 92, 93]",Unknownx5,5,1,03:15:00,1,01:46:00,14,13,14,18
1,TOFAS,134.1,135,"[55, 66, 91, 92, 93]",Unknownx5,5,1,01:46:00,1,01:46:00,14,18,14,18
1,TOFAS,135.1,149,"[55, 66, 92, 93, 94]",Unknownx5,5,1,01:44:00,1,01:01:00,14,18,16,18
1,TOFAS,149.1,150,"[55, 66, 89, 93, 94]",Unknownx5,5,1,01:01:00,1,01:01:00,16,18,16,18
1,TOFAS,150.1,255,"[55, 66, 67, 89, 94]",Unknownx5,5,1,00:48:30,2,06:54:00,16,18,23,22
1,TOFAS,255.1,256,"[55, 66, 67, 89]",Unknownx4,4,2,06:54:00,2,06:54:00,23,22,23,22
1,TOFAS,256.1,257,"[55, 66, 67, 89, 94]",Unknownx5,5,2,06:54:00,2,06:54:00,23,22,23,22
1,TOFAS,257.1,258,"[55, 67, 89, 94]",Unknownx4,4,2,06:54:00,2,06:54:00,23,22,23,22
1,TOFAS,258.1,266,"[55, 67, 88, 89, 94]",Unknownx5,5,2,06:54:00,2,06:39:00,23,22,23,23
1,TOFAS,266.1,267,"[55, 88, 89, 92, 94]",Unknownx5,5,2,06:39:00,2,06:39:00,23,23,23,23
1,TOFAS,267.1,268,"[55, 88, 89, 92, 94]",Unknownx5,5,2,06:39:00,2,06:39:00,23,23,23,23
1,TOFAS,268.1,269,"[55, 66, 88, 92, 94]",Unknownx5,5,2,06:39:00,2,06:39:00,23,23,23,23
1,TOFAS,269.1,280,"[55, 66, 91, 92, 94]",Unknownx5,5,2,06:39:00,2,06:30:00,23,23,24,23
1,TOFAS,280.1,281,"[55, 66, 91, 94]",Unknownx4,4,2,06:30:00,2,06:30:00,24,23,24,23
1,TOFAS,281.1,368,"[55, 66, 91, 93, 94]",Unknownx5,5,2,06:30:00,2,01:10:00,24,23,40,39
1,TOFAS,368.1,369,"[55, 66, 90, 91, 94]",Unknownx5,5,2,01:10:00,2,01:10:00,40,39,40,39
1,TOFAS,369.1,395,"[55, 66, 90, 91]",Unknownx4,4,2,01:10:00,3,10:00:00,40,39,43,39
1,TOFAS,395.1,396,"[55, 66, 90, 91]",Unknownx4,4,3,10:00:00,3,10:00:00,43,39,43,39
1,TOFAS,396.1,419,"[55, 66, 90, 91]",Unknownx4,4,3,10:00:00,3,08:26:00,43,39,45,39
1,TOFAS,419.1,420,"[55, 66, 90, 91]",Unknownx4,4,3,08:26:00,3,08:26:00,45,39,45,39
1,TOFAS,420.1,466,"[55, 66, 90, 91]",Unknownx4,4,3,08:16:00,3,05:28:00,45,39,49,45
1,TOFAS,466.1,467,"[55, 66, 88, 90, 91]",Unknownx5,5,3,05:28:00,3,05:28:00,49,45,49,45
1,TOFAS,467.1,504,"[55, 88, 90, 91, 94]",Unknownx5,5,3,05:28:00,3,03:29:00,49,45,51,53
1,TOFAS,504.1,505,"[66, 88, 90, 91, 94]",Unknownx5,5,3,03:29:00,3,03:29:00,51,53,51,53
1,TOFAS,505.1,506,"[66, 90, 91, 93, 94]",Unknownx5,5,3,03:29:00,3,03:29:00,51,53,51,53
1,TOFAS,506.1,507,"[66, 91, 92, 93, 94]",Unknownx5,5,3,03:29:00,3,03:29:00,51,53,51,53
1,TOFAS,507.1,532,"[66, 90, 92, 93, 94]",Unknownx5,5,3,03:29:00,3,01:57:00,51,53,54,57
1,TOFAS,532.1,533,"[66, 89, 90, 93, 94]",Unknownx5,5,3,01:57:00,3,01:57:00,54,57,54,57
