week,game_id,label,teams,meta_path,pbp_path,players_path,created_at,source_json
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,ALIAGA PETKIM SPOR / KARSIYAKA,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714805/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714805/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714805/game_players_with_positions.csv,2025-10-28T16:16:36.272848Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2714805.json
week01,2714806,TOFAS vs FENERBAHÇE BEKO,TOFAS / FENERBAHÇE BEKO,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714806/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714806/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714806/game_players_with_positions.csv,2025-10-28T16:17:00.407087Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2714806.json
week01,2714807,BAHÇESEHIR KOLEJI vs GALATASARAY MCT TECHNIC,BAHÇESEHIR KOLEJI / GALATASARAY MCT TECHNIC,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714807/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714807/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2714807/game_players_with_positions.csv,2025-10-28T16:17:07.646982Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2714807.json
week01,2715206,BESIKTAS GAIN vs TÜRK TELEKOM,BESIKTAS GAIN / TÜRK TELEKOM,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715206/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715206/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715206/game_players_with_positions.csv,2025-10-28T16:17:30.690661Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2715206.json
week01,2715207,MANISA BASKET vs MERSIN SPOR,MANISA BASKET / MERSIN SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715207/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715207/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715207/game_players_with_positions.csv,2025-10-28T16:58:07.728235Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2715207.json
week01,2715208,TRABZONSPOR vs ONVO BÜYÜKÇEKMECE BASKETBOL,TRABZONSPOR / ONVO BÜYÜKÇEKMECE BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715208/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715208/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715208/game_players_with_positions.csv,2025-10-28T16:58:50.227546Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2715208.json
week01,2715209,YUKATEL MERKEZEFENDI BELEDIYESI BASKET vs BURSASPOR BASKETBOL,YUKATEL MERKEZEFENDI BELEDIYESI BASKET / BURSASPOR BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715209/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715209/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2715209/game_players_with_positions.csv,2025-10-28T16:59:01.720914Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2715209.json
week01,2736922,ANADOLU EFES vs ESENLER EROKSPOR,ANADOLU EFES / ESENLER EROKSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2736922/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2736922/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week01/2736922/game_players_with_positions.csv,2025-10-28T16:59:16.473071Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week01/2736922.json
week02,2715210,FENERBAHÇE BEKO vs ALIAGA PETKIM SPOR,FENERBAHÇE BEKO / ALIAGA PETKIM SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715210/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715210/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715210/game_players_with_positions.csv,2025-10-28T18:25:49.859523Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715210.json
week02,2715211,TÜRK TELEKOM vs BAHÇESEHIR KOLEJI,TÜRK TELEKOM / BAHÇESEHIR KOLEJI,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715211/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715211/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715211/game_players_with_positions.csv,2025-10-28T18:26:18.757480Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715211.json
week02,2715212,MERSIN SPOR vs BESIKTAS GAIN,MERSIN SPOR / BESIKTAS GAIN,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715212/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715212/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715212/game_players_with_positions.csv,2025-10-28T18:26:21.800202Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715212.json
week02,2715213,ONVO BÜYÜKÇEKMECE BASKETBOL vs GLINT MANISA BASKET,ONVO BÜYÜKÇEKMECE BASKETBOL / GLINT MANISA BASKET,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715213/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715213/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715213/game_players_with_positions.csv,2025-10-28T18:26:27.822755Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715213.json
week02,2715214,ESENLER EROKSPOR vs TRABZONSPOR,ESENLER EROKSPOR / TRABZONSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715214/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715214/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715214/game_players_with_positions.csv,2025-10-28T18:26:31.398971Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715214.json
week02,2715215,BURSASPOR BASKETBOL vs ANADOLU EFES,BURSASPOR BASKETBOL / ANADOLU EFES,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715215/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715215/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715215/game_players_with_positions.csv,2025-10-28T18:26:35.893387Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715215.json
week02,2715216,KARSIYAKA vs YUKATEL MERKEZEFENDI BELEDIYESI BASKET,KARSIYAKA / YUKATEL MERKEZEFENDI BELEDIYESI BASKET,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715216/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715216/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2715216/game_players_with_positions.csv,2025-10-28T18:26:38.952239Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2715216.json
week02,2736923,GALATASARAY MCT TECHNIC vs TOFAS,GALATASARAY MCT TECHNIC / TOFAS,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2736923/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2736923/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week02/2736923/game_players_with_positions.csv,2025-10-28T18:26:50.328202Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week02/2736923.json
week03,2715217,ALIAGA PETKIM SPOR vs GALATASARAY MCT TECHNIC,ALIAGA PETKIM SPOR / GALATASARAY MCT TECHNIC,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715217/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715217/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715217/game_players_with_positions.csv,2025-10-28T18:31:15.960228Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715217.json
week03,2715218,TOFAS vs TÜRK TELEKOM ,TOFAS / TÜRK TELEKOM ,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715218/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715218/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715218/game_players_with_positions.csv,2025-10-28T18:31:21.502960Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715218.json
week03,2715219,BAHÇESEHIR KOLEJI vs MERSIN SPOR,BAHÇESEHIR KOLEJI / MERSIN SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715219/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715219/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715219/game_players_with_positions.csv,2025-10-28T18:31:26.116161Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715219.json
week03,2715220,BESIKTAS GAIN vs ONVO BÜYÜKÇEKMECE BASKETBOL,BESIKTAS GAIN / ONVO BÜYÜKÇEKMECE BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715220/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715220/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715220/game_players_with_positions.csv,2025-10-28T18:31:42.122752Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715220.json
week03,2715221,GLINT MANISA BASKET vs ESENLER EROKSPOR,GLINT MANISA BASKET / ESENLER EROKSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715221/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715221/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715221/game_players_with_positions.csv,2025-10-28T18:31:45.889824Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715221.json
week03,2715222,TRABZONSPOR vs BURSASPOR BASKETBOL,TRABZONSPOR / BURSASPOR BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715222/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715222/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715222/game_players_with_positions.csv,2025-10-28T18:31:49.324860Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715222.json
week03,2715223,FENERBAHÇE BEKO vs KARSIYAKA,FENERBAHÇE BEKO / KARSIYAKA,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715223/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715223/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2715223/game_players_with_positions.csv,2025-10-28T18:31:58.098062Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2715223.json
week03,2736924,ANADOLU EFES vs YUKATEL MERKEZEFENDI BELEDIYESI BASKET,ANADOLU EFES / YUKATEL MERKEZEFENDI BELEDIYESI BASKET,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2736924/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2736924/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week03/2736924/game_players_with_positions.csv,2025-10-28T18:32:10.356529Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week03/2736924.json
week04,2715224,TÜRK TELEKOM vs ALIAGA PETKIM SPOR,TÜRK TELEKOM / ALIAGA PETKIM SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715224/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715224/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715224/game_players_with_positions.csv,2025-10-28T18:32:45.906749Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715224.json
week04,2715225,MERSIN SPOR vs TOFAS,MERSIN SPOR / TOFAS,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715225/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715225/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715225/game_players_with_positions.csv,2025-10-28T18:32:53.921816Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715225.json
week04,2715226,ONVO BÜYÜKÇEKMECE BASKETBOL vs BAHÇESEHIR KOLEJI,ONVO BÜYÜKÇEKMECE BASKETBOL / BAHÇESEHIR KOLEJI,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715226/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715226/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715226/game_players_with_positions.csv,2025-10-28T18:32:57.326815Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715226.json
week04,2715227,ESENLER EROKSPOR vs BESIKTAS GAIN,ESENLER EROKSPOR / BESIKTAS GAIN,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715227/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715227/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715227/game_players_with_positions.csv,2025-10-28T18:33:00.484809Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715227.json
week04,2715228,BURSASPOR BASKETBOL vs GLINT MANISA BASKET,BURSASPOR BASKETBOL / GLINT MANISA BASKET,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715228/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715228/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715228/game_players_with_positions.csv,2025-10-28T18:33:03.519591Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715228.json
week04,2715229,YUKATEL MERKEZEFENDI BELEDIYESI BASKET vs TRABZONSPOR,YUKATEL MERKEZEFENDI BELEDIYESI BASKET / TRABZONSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715229/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715229/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715229/game_players_with_positions.csv,2025-10-28T18:33:06.363397Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715229.json
week04,2715230,KARSIYAKA vs ANADOLU EFES,KARSIYAKA / ANADOLU EFES,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715230/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715230/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2715230/game_players_with_positions.csv,2025-10-28T18:33:11.500862Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2715230.json
week04,2736925,GALATASARAY MCT TECHNIC vs FENERBAHÇE BEKO,GALATASARAY MCT TECHNIC / FENERBAHÇE BEKO,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2736925/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2736925/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week04/2736925/game_players_with_positions.csv,2025-10-28T18:33:27.848834Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week04/2736925.json
week05,2715231,ALIAGA PETKIM SPOR vs MERSIN SPOR,ALIAGA PETKIM SPOR / MERSIN SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715231/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715231/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715231/game_players_with_positions.csv,2025-10-28T18:50:47.280691Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715231.json
week05,2715232,TOFAS vs ONVO BÜYÜKÇEKMECE BASKETBOL,TOFAS / ONVO BÜYÜKÇEKMECE BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715232/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715232/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715232/game_players_with_positions.csv,2025-10-28T18:50:56.130599Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715232.json
week05,2715233,BAHÇESEHIR KOLEJI vs ESENLER EROKSPOR,BAHÇESEHIR KOLEJI / ESENLER EROKSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715233/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715233/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715233/game_players_with_positions.csv,2025-10-28T18:51:00.253375Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715233.json
week05,2715234,BESIKTAS GAIN vs BURSASPOR BASKETBOL,BESIKTAS GAIN / BURSASPOR BASKETBOL,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715234/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715234/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715234/game_players_with_positions.csv,2025-10-28T18:51:03.899340Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715234.json
week05,2715235,GLINT MANISA BASKET vs YUKATEL MERKEZEFENDI BELEDIYESI BASKET,GLINT MANISA BASKET / YUKATEL MERKEZEFENDI BELEDIYESI BASKET,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715235/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715235/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715235/game_players_with_positions.csv,2025-10-28T18:51:07.521065Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715235.json
week05,2715236,TRABZONSPOR vs ANADOLU EFES,TRABZONSPOR / ANADOLU EFES,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715236/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715236/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715236/game_players_with_positions.csv,2025-10-28T18:51:13.764783Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715236.json
week05,2715237,FENERBAHÇE BEKO vs TÜRK TELEKOM ,FENERBAHÇE BEKO / TÜRK TELEKOM ,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715237/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715237/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2715237/game_players_with_positions.csv,2025-10-28T18:51:18.321862Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2715237.json
week05,2736926,GALATASARAY MCT TECHNIC vs KARSIYAKA,GALATASARAY MCT TECHNIC / KARSIYAKA,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2736926/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2736926/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week05/2736926/game_players_with_positions.csv,2025-10-28T18:51:28.196070Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week05/2736926.json
week06,2715614,ESENLER EROKSPOR vs TOFAŞ,ESENLER EROKSPOR / TOFAŞ,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715614/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715614/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715614/game_players_with_positions.csv,2025-11-01T05:26:34.041363Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week06/2715614.json
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,ONVO BÜYÜKÇEKMECE BASKETBOL / ALİAĞA PETKİM SPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715613/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715613/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715613/game_players_with_positions.csv,2025-11-02T14:56:52.311994Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week06/2715613.json
week06,2715616,BURSASPOR BASKETBOL vs BAHÇEŞEHİR KOLEJİ,BURSASPOR BASKETBOL / BAHÇEŞEHİR KOLEJİ,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715616/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715616/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715616/game_players_with_positions.csv,2025-11-02T14:57:33.200643Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week06/2715616.json
week06,2715618,KARŞIYAKA vs TRABZONSPOR,KARŞIYAKA / TRABZONSPOR,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715618/meta.json,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715618/game_pbp_normalized.csv,/Users/uygarkaraca/JSON/BSL_2025_26/out_data/week06/2715618/game_players_with_positions.csv,2025-11-02T14:58:11.648599Z,/Users/uygarkaraca/JSON/BSL_2025_26/raw_json/week06/2715618.json
