week,game_id,label,team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,46,K. Soyuçayli,Kerem,Soyuçayli,1,0,,1,,,1:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,K. Soyuçayli,1:46
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,45,B. Güler,Boran,Güler,2,0,,1,,,2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-13,0,B. Güler,1:45
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,69,S. Whittaker Jr,Stanley Mace,Whittaker Jr,3,1,,0,,,24:46,2,5,40,2,2,100,0,3,0,0,0,0,2,0,2,6,5,0,0,0,3,2,6,0,0,13,0,S. Whittaker Jr,1:69
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,67,D. Efianayi Jr,David Tinsley Eghosa,Efianayi Jr,4,1,,0,,,27:44,5,9,55,2,6,33,3,3,100,4,4,100,5,0,5,7,1,0,0,0,0,5,16,3,2,20,4,D. Efianayi Jr,1:67
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,68,Y. Franke,Yannick Ayrton,Franke,5,1,,1,,,27:38,3,10,30,2,7,28,1,3,33,2,2,100,1,3,4,2,5,1,0,0,2,3,10,0,8,1,2,Y. Franke,1:68
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,65,R. Blumbergs,Roberts,Blumbergs,6,0,,0,,,14:40,2,4,50,1,3,33,1,1,100,2,2,100,4,0,4,1,0,0,0,0,3,1,7,0,2,4,2,R. Blumbergs,1:65
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,43,M. Kurtuldum,Mustafa,Kurtuldum,7,0,,0,,,8:08,1,1,100,0,0,0,1,1,100,2,2,100,0,0,0,0,1,0,0,0,2,1,4,0,0,3,2,M. Kurtuldum,1:43
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,70,U. Utomi,Uzodinma,Utomi,8,0,,1,,,15:35,6,8,75,3,5,60,3,3,100,0,0,0,4,0,4,0,1,1,0,0,4,0,15,0,5,10,6,U. Utomi,1:70
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,42,Y. Sonsirma,Yunus Emre,Sonsirma,9,0,1.0,0,,,22:38,2,3,66,1,1,100,1,2,50,1,2,50,5,0,5,3,3,2,0,0,0,3,6,0,6,14,2,Y. Sonsirma,1:42
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,44,T. Sav,Troy Selim,Sav,15,1,,0,,,15:24,1,2,50,0,0,0,1,2,50,0,0,0,3,1,4,0,0,0,0,0,3,0,2,2,0,2,2,T. Sav,1:44
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,64,M. Sajus,Martynas,Sajus,19,1,,1,,,25:01,8,9,88,0,0,0,8,9,88,3,5,60,2,1,3,1,2,1,2,1,1,3,19,2,6,5,16,M. Sajus,1:64
