possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,7,9,2.0,score,2,0,TRABZONSPOR,2
2,1,10,10,1.0,def_reb,0,0,KARŞIYAKA,0
3,1,11,11,2.0,def_reb,0,0,TRABZONSPOR,0
4,1,12,14,1.0,score,2,2,KARŞIYAKA,0
5,1,15,15,2.0,def_reb,0,0,TRABZONSPOR,0
6,1,16,16,1.0,def_reb,0,0,KARŞIYAKA,0
7,1,17,17,2.0,score,2,0,TRABZONSPOR,2
8,1,18,18,1.0,def_reb,0,0,KARŞIYAKA,0
9,1,19,19,2.0,def_reb,0,0,TRABZONSPOR,0
10,1,21,24,1.0,score,2,2,KARŞIYAKA,0
11,1,26,31,2.0,score,2,2,TRABZONSPOR,0
12,1,33,33,1.0,score,3,3,KARŞIYAKA,0
13,1,34,36,2.0,score,2,2,TRABZONSPOR,0
14,1,37,42,1.0,def_reb,0,0,KARŞIYAKA,0
15,1,44,44,2.0,def_reb,0,0,TRABZONSPOR,0
16,1,45,45,1.0,turnover,0,0,KARŞIYAKA,0
17,1,46,54,2.0,turnover,0,0,TRABZONSPOR,0
18,1,56,56,1.0,score,2,2,KARŞIYAKA,0
19,1,57,58,2.0,score,2,2,TRABZONSPOR,0
20,1,59,59,1.0,score,3,3,KARŞIYAKA,0
21,1,60,61,2.0,score,2,2,TRABZONSPOR,0
22,1,62,62,1.0,score,3,3,KARŞIYAKA,0
23,1,63,64,2.0,def_reb,0,0,TRABZONSPOR,0
24,1,66,66,1.0,def_reb,0,0,KARŞIYAKA,0
25,1,67,74,2.0,turnover,0,0,TRABZONSPOR,0
26,1,75,78,1.0,score,2,0,KARŞIYAKA,2
27,1,80,85,2.0,turnover,0,0,TRABZONSPOR,0
28,1,86,91,1.0,def_reb,0,0,KARŞIYAKA,0
29,1,93,93,2.0,def_reb,0,0,TRABZONSPOR,0
30,1,96,96,1.0,turnover,0,0,KARŞIYAKA,0
31,1,98,98,2.0,score,2,2,TRABZONSPOR,0
32,1,99,100,1.0,score,2,2,KARŞIYAKA,0
33,1,103,103,2.0,def_reb,0,0,TRABZONSPOR,0
34,1,104,104,1.0,def_reb,0,0,KARŞIYAKA,0
35,1,105,105,2.0,turnover,0,0,TRABZONSPOR,0
36,1,107,113,1.0,made_ft_last,1,0,KARŞIYAKA,1
37,1,114,120,2.0,def_reb,0,0,TRABZONSPOR,0
38,1,121,121,1.0,score,2,2,KARŞIYAKA,0
39,1,122,124,2.0,made_ft_last,1,0,TRABZONSPOR,1
40,1,126,126,1.0,score,2,0,KARŞIYAKA,2
41,1,127,130,2.0,score,2,0,TRABZONSPOR,2
42,1,131,133,1.0,def_reb,0,0,KARŞIYAKA,0
43,1,135,135,2.0,def_reb,0,0,TRABZONSPOR,0
44,1,136,137,1.0,made_ft_last,1,1,KARŞIYAKA,0
45,1,143,143,2.0,def_reb,0,0,TRABZONSPOR,0
46,1,144,144,1.0,def_reb,0,0,KARŞIYAKA,0
47,1,145,145,2.0,score,3,3,TRABZONSPOR,0
48,1,147,158,1.0,score,2,0,KARŞIYAKA,2
49,2,159,161,2.0,made_ft_last,1,1,TRABZONSPOR,0
50,2,163,163,1.0,def_reb,0,0,KARŞIYAKA,0
51,2,164,164,2.0,def_reb,0,0,TRABZONSPOR,0
52,2,165,165,1.0,def_reb,0,0,KARŞIYAKA,0
53,2,166,166,2.0,def_reb,0,0,TRABZONSPOR,0
54,2,168,173,1.0,score,2,2,KARŞIYAKA,0
55,2,174,175,2.0,turnover,0,0,TRABZONSPOR,0
56,2,177,181,1.0,score,3,3,KARŞIYAKA,0
57,2,182,186,2.0,turnover,0,0,TRABZONSPOR,0
58,2,187,196,1.0,score,2,2,KARŞIYAKA,0
59,2,197,198,2.0,score,2,2,TRABZONSPOR,0
60,2,199,199,1.0,def_reb,0,0,KARŞIYAKA,0
61,2,200,200,2.0,def_reb,0,0,TRABZONSPOR,0
62,2,202,209,1.0,def_reb,0,0,KARŞIYAKA,0
63,2,210,210,2.0,def_reb,0,0,TRABZONSPOR,0
64,2,211,211,1.0,def_reb,0,0,KARŞIYAKA,0
65,2,213,213,2.0,def_reb,0,0,TRABZONSPOR,0
66,2,216,219,1.0,score,3,0,KARŞIYAKA,3
