team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,KARŞIYAKA,1.0,40.0,"[78, 86, 87, 88, 89]",5,78|86|87|88|89,"['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:78|1:86|1:87|1:88|1:89,Unknownx5,1,10:00:00,1,06:44:00,0,0,4,11
1,KARŞIYAKA,40.1,69.0,"[78, 86, 87, 89, 93]",5,78|86|87|89|93,"['1:78', '1:86', '1:87', '1:89', '1:93']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",1:78|1:86|1:87|1:89|1:93,Unknownx5,1,06:44:00,1,04:13:00,4,11,8,19
1,KARŞIYAKA,69.1,109.0,"[78, 79, 89, 93, 95]",5,78|79|89|93|95,"['1:78', '1:79', '1:89', '1:93', '1:95']","['S. Geyik', 'M. Celep', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:78|1:79|1:89|1:93|1:95,Unknownx5,1,04:13:00,1,02:09:00,8,19,12,21
1,KARŞIYAKA,109.1,170.0,"[79, 80, 88, 93, 95]",5,79|80|88|93|95,"['1:79', '1:80', '1:88', '1:93', '1:95']","['M. Celep', 'A. Güven', 'M. Moore', 'C. Young', 'N. Gordic']",1:79|1:80|1:88|1:93|1:95,Unknownx5,1,02:09:00,2,08:46:00,12,21,21,27
1,KARŞIYAKA,170.1,187.0,"[79, 80, 89, 93, 95]",5,79|80|89|93|95,"['1:79', '1:80', '1:89', '1:93', '1:95']","['M. Celep', 'A. Güven', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:79|1:80|1:89|1:93|1:95,Unknownx5,2,08:46:00,2,07:42:00,21,27,21,32
1,KARŞIYAKA,187.1,232.0,"[78, 86, 87, 89, 93]",5,78|86|87|89|93,"['1:78', '1:86', '1:87', '1:89', '1:93']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",1:78|1:86|1:87|1:89|1:93,Unknownx5,2,07:42:00,2,05:07:00,21,32,26,34
1,KARŞIYAKA,232.1,249.0,"[78, 86, 87, 88, 89]",5,78|86|87|88|89,"['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:78|1:86|1:87|1:88|1:89,Unknownx5,2,05:07:00,2,04:05:00,26,34,26,38
1,KARŞIYAKA,249.1,296.0,"[78, 87, 88, 89, 95]",5,78|87|88|89|95,"['1:78', '1:87', '1:88', '1:89', '1:95']","['S. Geyik', 'J. Alston', 'M. Moore', 'C. Manning Jr', 'N. Gordic']",1:78|1:87|1:88|1:89|1:95,Unknownx5,2,04:05:00,2,02:09:00,26,38,33,39
1,KARŞIYAKA,296.1,345.0,"[78, 87, 88, 93, 95]",5,78|87|88|93|95,"['1:78', '1:87', '1:88', '1:93', '1:95']","['S. Geyik', 'J. Alston', 'M. Moore', 'C. Young', 'N. Gordic']",1:78|1:87|1:88|1:93|1:95,Unknownx5,2,02:09:00,2,00:27:40,33,39,41,44
1,KARŞIYAKA,345.1,362.0,"[78, 82, 87, 92, 95]",5,78|82|87|92|95,"['1:78', '1:82', '1:87', '1:92', '1:95']","['S. Geyik', 'E. Özçelik', 'J. Alston', 'S. Mentese', 'N. Gordic']",1:78|1:82|1:87|1:92|1:95,Unknownx5,2,00:27:40,3,10:00:00,41,44,41,46
