start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,24.0,1,10:00:00,1,08:36:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 92, 95, 99]",76|79|92|95|99,Unknownx5,"['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",3,2,4,-2,66.66666666666667,133.33333333333334,3,4,2,2,133.33333333333334,66.66666666666667,0,0,2,4
24.1,61.0,1,08:36:00,1,06:04:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 89, 92, 95, 99]",76|89|92|95|99,Unknownx5,"['2:76', '2:89', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",8,3,5,-2,37.5,71.42857142857143,7,5,3,2,71.42857142857143,37.5,2,4,9,6
61.1,75.0,1,06:04:00,1,05:06:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 89, 94, 98, 99]",76|89|94|98|99,Unknownx5,"['2:76', '2:89', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2,3,0,3,150.0,0.0,1,0,3,-3,0.0,150.0,9,6,11,9
75.1,84.0,1,05:06:00,1,04:35:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[89, 93, 94, 98, 99]",89|93|94|98|99,Unknownx5,"['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,11,9,11,12
84.1,94.0,1,04:35:00,1,04:30:00,1,MERSİN SPOR,"[4, 6, 9, 56, 57]",4|6|9|56|57,Unknownx5,"['1:4', '1:6', '1:9', '1:56', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 93, 94, 98, 99]",89|93|94|98|99,Unknownx5,"['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,1,-1,,100.0,1,1,0,1,100.0,,11,12,13,12
94.1,116.0,1,04:30:00,1,03:16:00,1,MERSİN SPOR,"[4, 6, 9, 56, 57]",4|6|9|56|57,Unknownx5,"['1:4', '1:6', '1:9', '1:56', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 93, 94, 98, 99]",79|93|94|98|99,Unknownx5,"['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",1,2,2,0,200.0,100.0,2,2,2,0,100.0,200.0,13,12,15,14
116.1,118.0,1,03:16:00,1,03:16:00,1,MERSİN SPOR,"[4, 9, 10, 56, 57]",4|9|10|56|57,Unknownx5,"['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 93, 94, 98, 99]",79|93|94|98|99,Unknownx5,"['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,15,14,15,14
118.1,135.0,1,03:16:00,1,01:45:00,1,MERSİN SPOR,"[4, 9, 10, 56, 57]",4|9|10|56|57,Unknownx5,"['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 91, 93, 94, 98]",79|91|93|94|98,Unknownx5,"['2:79', '2:91', '2:93', '2:94', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",2,3,3,0,150.0,100.0,3,3,3,0,100.0,150.0,15,14,18,17
135.1,185.0,1,01:45:00,2,08:55:00,1,MERSİN SPOR,"[5, 7, 10, 53, 57]",5|7|10|53|57,Unknownx5,"['1:5', '1:7', '1:10', '1:53', '1:57']","['J. Cobbs', 'B. Bentil', 'R. March Jr', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 91, 93, 94, 98]",79|91|93|94|98,Unknownx5,"['2:79', '2:91', '2:93', '2:94', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",7,3,4,-1,42.857142857142854,57.142857142857146,7,4,3,1,57.142857142857146,42.857142857142854,18,17,24,19
185.1,196.0,2,08:55:00,2,08:26:00,1,MERSİN SPOR,"[5, 7, 10, 53, 57]",5|7|10|53|57,Unknownx5,"['1:5', '1:7', '1:10', '1:53', '1:57']","['J. Cobbs', 'B. Bentil', 'R. March Jr', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 91, 93, 95, 98]",79|91|93|95|98,Unknownx5,"['2:79', '2:91', '2:93', '2:95', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall', 'M. Jantunen']",1,0,0,0,0.0,0.0,1,0,0,0,0.0,0.0,24,19,27,19
