gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,2,1,REGULAR,99,A. BACOT JR,1,jumpball,5,4,[],won,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,1,1,REGULAR,56,A. OLASENI,1,jumpball,6,4,[],lost,0,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:44,09:44:00,0,0,0,2,1,REGULAR,95,D. HALL,0,2pt,7,,['pointsinthepaint'],jumpshot,1,20,Devon Howard,Hall,Devon Howard,Hall,D,H,D,H,D. Hall,FENERBAHÇE BEKO,FBB,D. Hall,20,,,84.709999084473,44.630001068115,0.0,P2,missed,FENERBAHÇE BEKO D. HALL 2Pt missed,,,,,,,,,0,1,2.0,,0,0,0,0
09:40,09:40:00,0,0,0,2,1,REGULAR,92,N. MELLI,1,rebound,8,7,[],offensive,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,REB,,FENERBAHÇE BEKO rebound offensive,,,,,,,,,0,1,2.0,,0,0,0,0
09:37,09:37:00,0,2,-2,2,1,REGULAR,95,D. HALL,1,2pt,9,,['2ndchance'],jumpshot,1,20,Devon Howard,Hall,Devon Howard,Hall,D,H,D,H,D. Hall,FENERBAHÇE BEKO,FBB,D. Hall,20,,,87.98999786377,19.770000457764,1.0,P2,made,FENERBAHÇE BEKO D. HALL 2Pt made,,,,,,,,,2,1,2.0,score,0,0,2,2
09:21,09:21:00,2,2,0,1,1,REGULAR,56,A. OLASENI,1,2pt,10,,[],jumpshot,1,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,21.370000839233,68.360000610352,1.0,P2,made,MERSİN SPOR A. OLASENI 2Pt made,6.0,1.0,F. CRUZ SALDIVAR,,,,,,2,2,1.0,score,2,2,0,2
09:21,09:21:00,2,2,0,1,1,REGULAR,6,F. CRUZ SALDIVAR,1,assist,11,10,[],,0,9,Francisco Javier,Cruz Saldivar,Francisco Javier,Cruz Saldivar,F,C,F,C,F. Cruz Saldivar,MERSİN SPOR,MSK,F. Cruz Saldivar,9,,,,,,ASS,,MERSİN SPOR F. CRUZ SALDIVAR assist,,,,,,,,,0,3,2.0,,0,2,0,2
09:10,09:10:00,2,4,-2,2,1,REGULAR,76,M. MAHMUTOGLU,1,2pt,14,,[],jumpshot,1,10,Melih,Mahmutoglu,Melih,Mahmutoglu,M,M,M,M,M. Mahmutoglu,FENERBAHÇE BEKO,FBB,M. Mahmutoglu,10,,,75.819999694824,55.369998931885,1.0,P2,made,FENERBAHÇE BEKO M. MAHMUTOGLU 2Pt made,92.0,2.0,N. MELLI,,,,,,2,3,2.0,score,0,2,2,4
09:10,09:10:00,2,4,-2,2,1,REGULAR,92,N. MELLI,1,assist,15,14,[],,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,ASS,,FENERBAHÇE BEKO N. MELLI assist,,,,,,,,,0,4,1.0,,0,2,0,4
08:49,08:49:00,2,4,-2,1,1,REGULAR,5,J. COBBS,0,3pt,16,,[],jumpshot,1,1,Justin,Cobbs,Justin,Cobbs,J,C,J,C,J. Cobbs,MERSİN SPOR,MSK,J. Cobbs,1,,,38.220001220703,77.400001525879,0.0,P3,missed,MERSİN SPOR J. COBBS 3Pt missed,,,,,,,,,0,4,1.0,def_reb,0,2,0,4
08:47,08:47:00,2,4,-2,2,1,REGULAR,92,N. MELLI,1,rebound,17,16,[],defensive,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,REB,,FENERBAHÇE BEKO rebound defensive,,,,,,,,,0,5,2.0,def_reb,0,2,0,4
08:42,08:42:00,2,4,-2,2,1,REGULAR,92,N. MELLI,1,turnover,19,,[],badpass,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,TO,,FENERBAHÇE BEKO N. MELLI turnover badpass,,,,,,,,,0,6,1.0,turnover,0,2,0,4
08:42,08:42:00,2,4,-2,1,1,REGULAR,4,E. TIRPANCI,1,steal,20,19,[],,0,10,Efe Ergi,Tirpanci,Efe Ergi,Tirpanci,E,T,E,T,E. Tirpanci,MERSİN SPOR,MSK,E. Tirpanci,10,,,,,,ST,,MERSİN SPOR E. TIRPANCI steal,,,,,,,,,0,7,2.0,,0,2,0,4
