team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,MERSİN SPOR,MSK,54,A. Alyanak,11,,,1:54
1,MERSİN SPOR,MSK,57,A. Cowan,7,,,1:57
1,MERSİN SPOR,MSK,56,A. Olaseni,0,,,1:56
1,MERSİN SPOR,MSK,7,B. Bentil,50,,,1:7
1,MERSİN SPOR,MSK,4,E. Tirpanci,10,,,1:4
1,MERSİN SPOR,MSK,6,F. Cruz Saldivar,9,,,1:6
1,MERSİN SPOR,MSK,5,J. Cobbs,1,,,1:5
1,MERSİN SPOR,MSK,9,J. White,14,,,1:9
1,MERSİN SPOR,MSK,53,K. Çekici,6,,,1:53
1,MERSİN SPOR,MSK,3,K. Özmizrak,3,,,1:3
1,MERSİN SPOR,MSK,8,L. Apaydin,5,,,1:8
1,MERSİN SPOR,MSK,10,R. March Jr,4,,,1:10
2,FENERBAHÇE BEKO,FBB,99,A. Bacot Jr,00,,,2:99
2,FENERBAHÇE BEKO,FBB,93,B. Colson Ii,50,,,2:93
2,FENERBAHÇE BEKO,FBB,95,D. Hall,20,,,2:95
2,FENERBAHÇE BEKO,FBB,77,J. Birsen,1,,,2:77
2,FENERBAHÇE BEKO,FBB,91,K. Birch,92,,,2:91
2,FENERBAHÇE BEKO,FBB,78,M. Eksioglu,5,,,2:78
2,FENERBAHÇE BEKO,FBB,98,M. Jantunen,18,,,2:98
2,FENERBAHÇE BEKO,FBB,76,M. Mahmutoglu,10,,,2:76
2,FENERBAHÇE BEKO,FBB,92,N. Melli,4,,,2:92
2,FENERBAHÇE BEKO,FBB,89,O. Bitim,17,,,2:89
2,FENERBAHÇE BEKO,FBB,79,T. Biberoviç,13,,,2:79
2,FENERBAHÇE BEKO,FBB,94,W. Baldwin Iv,2,,,2:94
