team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,MERSİN SPOR,1.0,84.0,"[4, 5, 6, 9, 56]",4|5|6|9|56,13,13,15,11,12,-1,84.61538461538461,80.0,1,10:00:00,1,04:35:00,0,0,11,12,Unknownx5,5,4|5|6|9|56,1:4|1:5|1:6|1:9|1:56,"[4, 5, 6, 9, 56]","['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",MERSİN SPOR
1,MERSİN SPOR,84.1,116.0,"[4, 6, 9, 56, 57]",4|6|9|56|57,3,3,3,4,2,2,133.33333333333334,66.66666666666667,1,04:35:00,1,03:16:00,11,12,15,14,Unknownx5,5,4|6|9|56|57,1:4|1:6|1:9|1:56|1:57,"[4, 6, 9, 56, 57]","['1:4', '1:6', '1:9', '1:56', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,116.1,135.0,"[4, 9, 10, 56, 57]",4|9|10|56|57,3,3,3,3,3,0,100.0,100.0,1,03:16:00,1,01:45:00,15,14,18,17,Unknownx5,5,4|9|10|56|57,1:4|1:9|1:10|1:56|1:57,"[4, 9, 10, 56, 57]","['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,135.1,204.0,"[5, 7, 10, 53, 57]",5|7|10|53|57,10,10,10,9,2,7,90.0,20.0,1,01:45:00,2,07:55:00,18,17,27,19,Unknownx5,5,5|7|10|53|57,1:5|1:7|1:10|1:53|1:57,"[5, 7, 10, 53, 57]","['1:5', '1:7', '1:10', '1:53', '1:57']","['J. Cobbs', 'B. Bentil', 'R. March Jr', 'K. Çekici', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,204.1,241.0,"[4, 9, 10, 56, 57]",4|9|10|56|57,7,7,6,5,9,-4,71.42857142857143,150.0,2,07:55:00,2,05:20:00,27,19,32,28,Unknownx5,5,4|9|10|56|57,1:4|1:9|1:10|1:56|1:57,"[4, 9, 10, 56, 57]","['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,241.1,284.0,"[4, 5, 6, 9, 56]",4|5|6|9|56,7,7,8,6,3,3,85.71428571428571,37.5,2,05:20:00,2,03:07:00,32,28,38,31,Unknownx5,5,4|5|6|9|56,1:4|1:5|1:6|1:9|1:56,"[4, 5, 6, 9, 56]","['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",MERSİN SPOR
1,MERSİN SPOR,284.1,330.0,"[6, 10, 53, 56, 57]",6|10|53|56|57,6,6,5,3,11,-8,50.0,220.0,2,03:07:00,2,00:30:20,38,31,41,42,Unknownx5,5,6|10|53|56|57,1:6|1:10|1:53|1:56|1:57,"[6, 10, 53, 56, 57]","['1:6', '1:10', '1:53', '1:56', '1:57']","['F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,330.1,354.0,"[4, 5, 8, 9, 53]",4|5|8|9|53,2,2,2,1,3,-2,50.0,150.0,2,00:30:20,3,10:00:00,41,42,42,45,Unknownx5,5,4|5|8|9|53,1:4|1:5|1:8|1:9|1:53,"[4, 5, 8, 9, 53]","['1:4', '1:5', '1:8', '1:9', '1:53']","['E. Tirpanci', 'J. Cobbs', 'L. Apaydin', 'J. White', 'K. Çekici']",MERSİN SPOR
1,MERSİN SPOR,354.1,452.0,"[4, 5, 6, 9, 56]",4|5|6|9|56,14,14,14,7,9,-2,50.0,64.28571428571429,3,10:00:00,3,04:54:00,42,45,49,54,Unknownx5,5,4|5|6|9|56,1:4|1:5|1:6|1:9|1:56,"[4, 5, 6, 9, 56]","['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",MERSİN SPOR
1,MERSİN SPOR,452.1,471.0,"[4, 5, 7, 9, 57]",4|5|7|9|57,2,2,3,3,2,1,150.0,66.66666666666667,3,04:54:00,3,03:58:00,49,54,52,56,Unknownx5,5,4|5|7|9|57,1:4|1:5|1:7|1:9|1:57,"[4, 5, 7, 9, 57]","['1:4', '1:5', '1:7', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,471.1,497.0,"[4, 6, 7, 9, 57]",4|6|7|9|57,4,4,3,3,4,-1,75.0,133.33333333333334,3,03:58:00,3,02:52:00,52,56,55,60,Unknownx5,5,4|6|7|9|57,1:4|1:6|1:7|1:9|1:57,"[4, 6, 7, 9, 57]","['1:4', '1:6', '1:7', '1:9', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,497.1,552.0,"[6, 9, 10, 53, 57]",6|9|10|53|57,9,9,10,2,5,-3,22.22222222222222,50.0,3,02:52:00,4,10:00:00,55,60,57,65,Unknownx5,5,6|9|10|53|57,1:6|1:9|1:10|1:53|1:57,"[6, 9, 10, 53, 57]","['1:6', '1:9', '1:10', '1:53', '1:57']","['F. Cruz Saldivar', 'J. White', 'R. March Jr', 'K. Çekici', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,552.1,600.0,"[5, 6, 10, 53, 56]",5|6|10|53|56,5,5,5,4,7,-3,80.0,140.0,4,10:00:00,4,06:45:00,57,65,61,72,Unknownx5,5,5|6|10|53|56,1:5|1:6|1:10|1:53|1:56,"[5, 6, 10, 53, 56]","['1:5', '1:6', '1:10', '1:53', '1:56']","['J. Cobbs', 'F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni']",MERSİN SPOR
1,MERSİN SPOR,600.1,667.0,"[4, 5, 9, 56, 57]",4|5|9|56|57,10,10,9,10,7,3,100.0,77.77777777777777,4,06:45:00,4,02:48:00,61,72,71,79,Unknownx5,5,4|5|9|56|57,1:4|1:5|1:9|1:56|1:57,"[4, 5, 9, 56, 57]","['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,667.1,720.0,"[5, 6, 53, 56, 57]",5|6|53|56|57,5,5,5,7,5,2,140.0,100.0,4,02:48:00,4,00:23:70,71,79,78,84,Unknownx5,5,5|6|53|56|57,1:5|1:6|1:53|1:56|1:57,"[5, 6, 53, 56, 57]","['1:5', '1:6', '1:53', '1:56', '1:57']","['J. Cobbs', 'F. Cruz Saldivar', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,720.1,735.0,"[4, 6, 9, 53, 57]",4|6|9|53|57,1,1,2,0,1,-1,0.0,50.0,4,00:23:70,4,00:14:90,78,84,78,85,Unknownx5,5,4|6|9|53|57,1:4|1:6|1:9|1:53|1:57,"[4, 6, 9, 53, 57]","['1:4', '1:6', '1:9', '1:53', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'K. Çekici', 'A. Cowan']",MERSİN SPOR
1,MERSİN SPOR,735.1,748.0,"[4, 5, 6, 9, 57]",4|5|6|9|57,2,2,2,0,2,-2,0.0,100.0,4,00:14:90,4,00:00:00,78,85,78,87,Unknownx5,5,4|5|6|9|57,1:4|1:5|1:6|1:9|1:57,"[4, 5, 6, 9, 57]","['1:4', '1:5', '1:6', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Cowan']",MERSİN SPOR
2,FENERBAHÇE BEKO,1.0,24.0,"[76, 79, 92, 95, 99]",76|79|92|95|99,3,3,4,4,2,2,133.33333333333334,50.0,1,10:00:00,1,08:36:00,0,0,4,2,Unknownx5,5,76|79|92|95|99,2:76|2:79|2:92|2:95|2:99,"[76, 79, 92, 95, 99]","['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,24.1,61.0,"[76, 89, 92, 95, 99]",76|89|92|95|99,8,8,8,2,7,-5,25.0,87.5,1,08:36:00,1,06:04:00,4,2,6,9,Unknownx5,5,76|89|92|95|99,2:76|2:89|2:92|2:95|2:99,"[76, 89, 92, 95, 99]","['2:76', '2:89', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,61.1,75.0,"[76, 89, 94, 98, 99]",76|89|94|98|99,2,2,2,3,2,1,150.0,100.0,1,06:04:00,1,05:06:00,6,9,9,11,Unknownx5,5,76|89|94|98|99,2:76|2:89|2:94|2:98|2:99,"[76, 89, 94, 98, 99]","['2:76', '2:89', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,75.1,94.0,"[89, 93, 94, 98, 99]",89|93|94|98|99,2,2,1,3,2,1,150.0,200.0,1,05:06:00,1,04:30:00,9,11,12,13,Unknownx5,5,89|93|94|98|99,2:89|2:93|2:94|2:98|2:99,"[89, 93, 94, 98, 99]","['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,94.1,118.0,"[79, 93, 94, 98, 99]",79|93|94|98|99,2,2,2,2,2,0,100.0,100.0,1,04:30:00,1,03:16:00,12,13,14,15,Unknownx5,5,79|93|94|98|99,2:79|2:93|2:94|2:98|2:99,"[79, 93, 94, 98, 99]","['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,118.1,185.0,"[79, 91, 93, 94, 98]",79|91|93|94|98,10,10,11,5,9,-4,50.0,81.81818181818181,1,03:16:00,2,08:55:00,14,15,19,24,Unknownx5,5,79|91|93|94|98,2:79|2:91|2:93|2:94|2:98,"[79, 91, 93, 94, 98]","['2:79', '2:91', '2:93', '2:94', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,185.1,196.0,"[79, 91, 93, 95, 98]",79|91|93|95|98,2,2,1,0,3,-3,0.0,300.0,2,08:55:00,2,08:26:00,19,24,19,27,Unknownx5,5,79|91|93|95|98,2:79|2:91|2:93|2:95|2:98,"[79, 91, 93, 95, 98]","['2:79', '2:91', '2:93', '2:95', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall', 'M. Jantunen']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,196.1,245.0,"[76, 79, 91, 93, 95]",76|79|91|93|95,7,7,8,9,5,4,128.57142857142858,62.5,2,08:26:00,2,05:20:00,19,27,28,32,Unknownx5,5,76|79|91|93|95,2:76|2:79|2:91|2:93|2:95,"[76, 79, 91, 93, 95]","['2:76', '2:79', '2:91', '2:93', '2:95']","['M. Mahmutoglu', 'T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall']",FENERBAHÇE BEKO
