possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,8,11,1.0,turnover,0,0,FENERBAHÇE BEKO,0
2,1,12,15,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
3,1,16,16,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
4,1,17,17,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
5,1,18,18,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
6,1,19,19,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
7,1,20,20,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
8,1,21,21,2.0,score,3,3,ALIAGA PETKIM SPOR,0
9,1,22,23,1.0,score,2,2,FENERBAHÇE BEKO,0
10,1,24,25,2.0,score,2,2,ALIAGA PETKIM SPOR,0
11,1,26,26,1.0,score,2,2,FENERBAHÇE BEKO,0
12,1,27,27,2.0,score,2,2,ALIAGA PETKIM SPOR,0
13,1,28,28,1.0,score,3,3,FENERBAHÇE BEKO,0
14,1,29,29,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
15,1,30,30,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
16,1,32,34,2.0,made_ft,1,0,ALIAGA PETKIM SPOR,1
17,1,35,35,1.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
18,1,38,41,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
19,1,42,42,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
20,1,43,43,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
21,1,44,44,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
22,1,46,53,2.0,score,2,2,ALIAGA PETKIM SPOR,0
23,1,54,54,1.0,score,2,2,FENERBAHÇE BEKO,0
24,1,55,57,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
25,1,58,58,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
26,1,59,68,2.0,score,2,0,ALIAGA PETKIM SPOR,2
27,1,69,70,1.0,score,3,0,FENERBAHÇE BEKO,3
28,1,71,73,2.0,turnover,0,0,ALIAGA PETKIM SPOR,0
29,1,74,80,1.0,score,2,0,FENERBAHÇE BEKO,2
30,1,81,82,2.0,score,2,0,ALIAGA PETKIM SPOR,2
31,1,83,86,1.0,score,2,0,FENERBAHÇE BEKO,2
32,1,87,88,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
33,1,89,89,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
34,1,91,91,2.0,score,2,2,ALIAGA PETKIM SPOR,0
35,1,92,105,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
36,1,107,107,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
37,1,108,108,1.0,score,2,2,FENERBAHÇE BEKO,0
38,1,109,113,2.0,made_ft,1,1,ALIAGA PETKIM SPOR,0
39,1,114,114,1.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
40,1,116,116,2.0,score,3,0,ALIAGA PETKIM SPOR,3
41,1,117,124,1.0,made_ft,1,0,FENERBAHÇE BEKO,1
42,1,125,125,2.0,made_ft_last,1,1,ALIAGA PETKIM SPOR,0
43,1,129,129,1.0,score,2,2,FENERBAHÇE BEKO,0
44,1,130,130,2.0,score,2,2,ALIAGA PETKIM SPOR,0
45,1,131,131,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
46,1,132,132,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
47,1,133,133,1.0,score,3,0,FENERBAHÇE BEKO,3
48,1,134,148,2.0,made_ft,1,0,ALIAGA PETKIM SPOR,1
49,1,149,149,1.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
50,1,150,153,2.0,score,2,2,ALIAGA PETKIM SPOR,0
51,1,154,156,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
52,1,157,157,2.0,score,2,2,ALIAGA PETKIM SPOR,0
53,1,159,159,1.0,score,3,3,FENERBAHÇE BEKO,0
54,1,162,167,2.0,score,2,0,ALIAGA PETKIM SPOR,2
55,2,168,168,1.0,turnover,0,0,FENERBAHÇE BEKO,0
56,2,169,170,2.0,score,2,0,ALIAGA PETKIM SPOR,2
57,2,171,172,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
58,2,173,173,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
59,2,174,174,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
60,2,175,175,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
61,2,177,186,1.0,score,2,0,FENERBAHÇE BEKO,2
62,2,187,187,2.0,score,2,0,ALIAGA PETKIM SPOR,2
63,2,188,189,1.0,score,2,0,FENERBAHÇE BEKO,2
64,2,190,190,2.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
65,2,191,191,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
66,2,193,199,2.0,made_ft,1,1,ALIAGA PETKIM SPOR,0
67,2,200,200,1.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
68,2,201,206,2.0,score,2,0,ALIAGA PETKIM SPOR,2
69,2,207,209,1.0,turnover,0,0,FENERBAHÇE BEKO,0
70,2,212,215,2.0,turnover,0,0,ALIAGA PETKIM SPOR,0
71,2,216,218,1.0,score,2,0,FENERBAHÇE BEKO,2
72,2,219,224,2.0,made_ft_last,1,1,ALIAGA PETKIM SPOR,0
73,2,226,226,1.0,turnover,0,0,FENERBAHÇE BEKO,0
