team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,ESENLER EROKSPOR,ERK,26,J. Crawford,Jordon Benjamin,Crawford,1,0,1.0,0,,,23:44,2,11,18,1,4,25,1,7,14,0,0,0,1,2,3,3,3,0,0,3,2,1,5,0,0,-15,0,J. Crawford,1:26
1,ESENLER EROKSPOR,ERK,21,E. Gazi,Erten,Gazi,7,1,,0,,,4:05,1,2,50,0,1,0,1,1,100,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,-6,2,E. Gazi,1:21
1,ESENLER EROKSPOR,ERK,25,L. Galloway,Langston Arnold ,Galloway,9,0,,1,,,17:11,0,4,0,0,3,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,L. Galloway,1:25
1,ESENLER EROKSPOR,ERK,27,J. Simmons,Jeremy Byron Jerome,Simmons,11,1,,0,,,7:15,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,1,1,0,0,0,-9,0,J. Simmons,1:27
1,ESENLER EROKSPOR,ERK,24,P. Cornelie,Petr  Willlam,Cornelie,12,0,,1,,,21:53,3,8,37,1,2,50,2,6,33,4,9,44,8,2,10,1,0,1,1,0,1,5,11,0,3,15,4,P. Cornelie,1:24
1,ESENLER EROKSPOR,ERK,15,T. Akyazili,Thomas,Akyazili,14,0,,0,,,2:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-5,0,T. Akyazili,1:15
1,ESENLER EROKSPOR,ERK,22,T. Thurman,Tre'shawn Marcel,Thurman,15,0,,1,,,29:31,4,8,50,3,6,50,1,2,50,0,0,0,3,1,4,2,1,1,0,0,3,3,11,3,0,-2,2,T. Thurman,1:22
1,ESENLER EROKSPOR,ERK,20,E. Arna,Egehan,Arna,18,1,,0,,,31:15,2,7,28,2,6,33,0,1,0,0,0,0,3,3,6,3,2,0,0,0,3,3,6,0,0,2,0,E. Arna,1:20
1,ESENLER EROKSPOR,ERK,28,J. Love,Jermaine,Love,22,1,,1,,,29:40,5,11,45,1,3,33,4,8,50,7,7,100,2,3,5,5,3,2,0,0,3,5,18,5,4,3,4,J. Love,1:28
1,ESENLER EROKSPOR,ERK,23,J. Gant,Jakeenan Tyelle ,Gant,23,1,,0,,,9:04,1,2,50,0,1,0,1,1,100,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,0,-11,2,J. Gant,1:23
1,ESENLER EROKSPOR,ERK,17,M. Akyel,Metehan,Akyel,41,0,,0,,,2:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M. Akyel,1:17
1,ESENLER EROKSPOR,ERK,19,A. Duverioglu,Ahmet,Duverioglu,44,0,,1,,,21:27,6,10,60,0,0,0,6,10,60,0,0,0,1,2,3,0,2,0,2,1,3,1,12,2,2,2,12,A. Duverioglu,1:19
2,TRABZONSPOR,TRB,11,M. Reed,Marcquise Deandre,Reed,0,1,,1,,,24:43,7,14,50,0,1,0,7,13,53,4,4,100,0,1,1,4,2,2,0,2,1,6,18,0,10,-4,14,M. Reed,2:11
2,TRABZONSPOR,TRB,14,D. Grant,Denove Octavon,Grant,1,1,,0,,,20:16,3,10,30,1,5,20,2,5,40,2,2,100,3,1,4,3,2,0,0,0,0,4,9,2,0,3,2,D. Grant,2:14
2,TRABZONSPOR,TRB,10,T. Tinkle,Tres Anthony,Tinkle,3,1,,0,,,19:24,1,5,20,1,2,50,0,3,0,2,2,100,1,5,6,1,1,3,0,0,2,2,5,2,0,7,0,T. Tinkle,2:10
2,TRABZONSPOR,TRB,4,I. Ulusoy,Ismail Cem,Ulusoy,5,0,1.0,1,,,19:44,1,2,50,1,2,50,0,0,0,0,0,0,6,0,6,3,2,0,1,0,1,1,3,0,0,2,0,I. Ulusoy,2:4
2,TRABZONSPOR,TRB,7,J. Gordon,Jitaurious Tykyvion,Gordon,8,0,,0,,,15:17,5,6,83,1,1,100,4,5,80,0,0,0,1,0,1,2,1,1,0,0,2,0,11,0,6,9,6,J. Gordon,2:7
2,TRABZONSPOR,TRB,3,B. Demir,Berk,Demir,11,0,,1,,,20:36,2,5,40,1,2,50,1,3,33,0,0,0,5,1,6,3,1,0,0,1,3,0,5,0,0,-2,2,B. Demir,2:3
2,TRABZONSPOR,TRB,5,O. Ulubay,Okben,Ulubay,13,1,,0,,,17:38,1,3,33,1,3,33,0,0,0,0,0,0,2,0,2,1,0,2,0,1,1,0,3,0,0,1,0,O. Ulubay,2:5
2,TRABZONSPOR,TRB,12,A. Yeboah,Akwasi Abeyie,Yeboah,15,0,,1,,,22:55,3,8,37,1,4,25,2,4,50,4,5,80,4,2,6,2,1,2,1,0,3,4,11,0,2,1,4,A. Yeboah,2:12
2,TRABZONSPOR,TRB,2,E. Arar,Ege,Arar,19,0,,0,,,13:33,1,5,20,0,0,0,1,5,20,0,0,0,2,3,5,0,0,1,1,0,3,0,2,2,0,5,2,E. Arar,2:2
2,TRABZONSPOR,TRB,13,K. Silins,Karlis,Silins,25,0,,0,,,5:11,1,2,50,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,2,K. Silins,2:13
2,TRABZONSPOR,TRB,1,D. Engindeniz,Dorukhan,Engindeniz,30,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D. Engindeniz,2:1
2,TRABZONSPOR,TRB,9,A. Delgado Astacio,Angel Luis,Delgado Astacio,31,1,,1,,,20:43,1,4,25,0,0,0,1,4,25,1,4,25,2,3,5,1,3,1,1,0,3,4,3,2,0,0,2,A. Delgado Astacio,2:9
