team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,KARSIYAKA,1.0,73.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,15,15,17,12,13,-1,80.0,76.47058823529412,1,10:00:00,1,03:00:00,0,0,12,13,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,73.1,89.0,"[80, 85, 87, 88, 89]",80|85|87|88|89,4,4,3,2,0,2,50.0,0.0,1,03:00:00,1,01:54:00,12,13,14,13,Unknownx5,5,80|85|87|88|89,1:80|1:85|1:87|1:88|1:89,"[80, 85, 87, 88, 89]","['1:80', '1:85', '1:87', '1:88', '1:89']","['A. Güven', 'R. Tarrant Jr', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,89.1,145.0,"[79, 80, 85, 88, 93]",79|80|85|88|93,8,8,8,10,0,10,125.0,0.0,1,01:54:00,2,09:30:00,14,13,24,13,Unknownx5,5,79|80|85|88|93,1:79|1:80|1:85|1:88|1:93,"[79, 80, 85, 88, 93]","['1:79', '1:80', '1:85', '1:88', '1:93']","['M. Celep', 'A. Güven', 'R. Tarrant Jr', 'M. Moore', 'C. Young']",KARSIYAKA
1,KARSIYAKA,145.1,176.0,"[79, 80, 85, 89, 93]",79|80|85|89|93,4,4,4,6,4,2,150.0,100.0,2,09:30:00,2,07:57:00,24,13,30,17,Unknownx5,5,79|80|85|89|93,1:79|1:80|1:85|1:89|1:93,"[79, 80, 85, 89, 93]","['1:79', '1:80', '1:85', '1:89', '1:93']","['M. Celep', 'A. Güven', 'R. Tarrant Jr', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,176.1,219.0,"[80, 86, 87, 89, 93]",80|86|87|89|93,7,7,8,7,3,4,100.0,37.5,2,07:57:00,2,05:06:00,30,17,37,20,Unknownx5,5,80|86|87|89|93,1:80|1:86|1:87|1:89|1:93,"[80, 86, 87, 89, 93]","['1:80', '1:86', '1:87', '1:89', '1:93']","['A. Güven', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,219.1,273.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,8,8,7,2,0,2,25.0,0.0,2,05:06:00,2,02:31:00,37,20,39,20,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,273.1,306.0,"[78, 79, 85, 88, 89]",78|79|85|88|89,4,4,5,1,7,-6,25.0,140.0,2,02:31:00,2,01:12:00,39,20,40,27,Unknownx5,5,78|79|85|88|89,1:78|1:79|1:85|1:88|1:89,"[78, 79, 85, 88, 89]","['1:78', '1:79', '1:85', '1:88', '1:89']","['S. Geyik', 'M. Celep', 'R. Tarrant Jr', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,306.1,328.0,"[78, 79, 86, 89, 93]",78|79|86|89|93,3,3,3,0,0,0,0.0,0.0,2,01:12:00,2,00:31:60,40,27,40,27,Unknownx5,5,78|79|86|89|93,1:78|1:79|1:86|1:89|1:93,"[78, 79, 86, 89, 93]","['1:78', '1:79', '1:86', '1:89', '1:93']","['S. Geyik', 'M. Celep', 'C. Chiozza', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,328.1,338.0,"[79, 80, 86, 89, 93]",79|80|86|89|93,2,2,1,0,0,0,0.0,0.0,2,00:31:60,2,00:03:60,40,27,40,27,Unknownx5,5,79|80|86|89|93,1:79|1:80|1:86|1:89|1:93,"[79, 80, 86, 89, 93]","['1:79', '1:80', '1:86', '1:89', '1:93']","['M. Celep', 'A. Güven', 'C. Chiozza', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,338.1,362.0,"[79, 86, 87, 89, 93]",79|86|87|89|93,1,1,2,0,1,-1,0.0,50.0,2,00:03:60,3,10:00:00,40,27,40,28,Unknownx5,5,79|86|87|89|93,1:79|1:86|1:87|1:89|1:93,"[79, 86, 87, 89, 93]","['1:79', '1:86', '1:87', '1:89', '1:93']","['M. Celep', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,362.1,396.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,7,7,6,5,3,2,71.42857142857143,50.0,3,10:00:00,3,07:24:00,40,28,45,31,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,396.1,436.0,"[80, 86, 87, 88, 89]",80|86|87|88|89,6,6,7,8,2,6,133.33333333333334,28.571428571428573,3,07:24:00,3,05:08:00,45,31,53,33,Unknownx5,5,80|86|87|88|89,1:80|1:86|1:87|1:88|1:89,"[80, 86, 87, 88, 89]","['1:80', '1:86', '1:87', '1:88', '1:89']","['A. Güven', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,436.1,447.0,"[79, 80, 86, 88, 89]",79|80|86|88|89,2,2,2,1,0,1,50.0,0.0,3,05:08:00,3,04:35:00,53,33,54,33,Unknownx5,5,79|80|86|88|89,1:79|1:80|1:86|1:88|1:89,"[79, 80, 86, 88, 89]","['1:79', '1:80', '1:86', '1:88', '1:89']","['M. Celep', 'A. Güven', 'C. Chiozza', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,447.1,463.0,"[79, 80, 86, 89, 93]",79|80|86|89|93,3,3,2,0,3,-3,0.0,150.0,3,04:35:00,3,03:33:00,54,33,54,36,Unknownx5,5,79|80|86|89|93,1:79|1:80|1:86|1:89|1:93,"[79, 80, 86, 89, 93]","['1:79', '1:80', '1:86', '1:89', '1:93']","['M. Celep', 'A. Güven', 'C. Chiozza', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,463.1,486.0,"[79, 80, 85, 89, 93]",79|80|85|89|93,3,3,3,2,7,-5,66.66666666666667,233.33333333333334,3,03:33:00,3,02:09:00,54,36,56,43,Unknownx5,5,79|80|85|89|93,1:79|1:80|1:85|1:89|1:93,"[79, 80, 85, 89, 93]","['1:79', '1:80', '1:85', '1:89', '1:93']","['M. Celep', 'A. Güven', 'R. Tarrant Jr', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,486.1,512.0,"[78, 85, 87, 88, 93]",78|85|87|88|93,3,3,3,0,4,-4,0.0,133.33333333333334,3,02:09:00,3,00:36:00,56,43,56,47,Unknownx5,5,78|85|87|88|93,1:78|1:85|1:87|1:88|1:93,"[78, 85, 87, 88, 93]","['1:78', '1:85', '1:87', '1:88', '1:93']","['S. Geyik', 'R. Tarrant Jr', 'J. Alston', 'M. Moore', 'C. Young']",KARSIYAKA
1,KARSIYAKA,512.1,548.0,"[80, 86, 88, 89, 93]",80|86|88|89|93,4,4,5,2,5,-3,50.0,100.0,3,00:36:00,4,08:48:00,56,47,58,52,Unknownx5,5,80|86|88|89|93,1:80|1:86|1:88|1:89|1:93,"[80, 86, 88, 89, 93]","['1:80', '1:86', '1:88', '1:89', '1:93']","['A. Güven', 'C. Chiozza', 'M. Moore', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,548.1,629.0,"[78, 86, 88, 89, 93]",78|86|88|89|93,14,14,13,11,11,0,78.57142857142857,84.61538461538461,4,08:48:00,4,03:17:00,58,52,69,63,Unknownx5,5,78|86|88|89|93,1:78|1:86|1:88|1:89|1:93,"[78, 86, 88, 89, 93]","['1:78', '1:86', '1:88', '1:89', '1:93']","['S. Geyik', 'C. Chiozza', 'M. Moore', 'C. Manning Jr', 'C. Young']",KARSIYAKA
1,KARSIYAKA,629.1,657.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,5,5,5,5,0,5,100.0,0.0,4,03:17:00,4,01:49:00,69,63,74,63,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,657.1,669.0,"[79, 86, 87, 88, 89]",79|86|87|88|89,1,1,1,0,3,-3,0.0,300.0,4,01:49:00,4,01:31:00,74,63,74,66,Unknownx5,5,79|86|87|88|89,1:79|1:86|1:87|1:88|1:89,"[79, 86, 87, 88, 89]","['1:79', '1:86', '1:87', '1:88', '1:89']","['M. Celep', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
1,KARSIYAKA,669.1,689.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,3,3,4,2,0,2,66.66666666666667,0.0,4,01:31:00,4,01:18:00,74,66,76,66,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARSIYAKA
