start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,55.0,1,10:00:00,1,06:18:00,1,GALATASARAY MCT TECHNIC,"[70, 103, 104, 105, 109]",70|103|104|105|109,Unknownx5,"['1:70', '1:103', '1:104', '1:105', '1:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",2,FENERBAHÇE BEKO,"[76, 79, 95, 98, 99]",76|79|95|98|99,Unknownx5,"['2:76', '2:79', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",8,6,6,0,75.0,75.0,8,6,6,0,75.0,75.0,0,0,4,8
55.1,59.0,1,06:18:00,1,06:18:00,1,GALATASARAY MCT TECHNIC,"[70, 103, 104, 105, 109]",70|103|104|105|109,Unknownx5,"['1:70', '1:103', '1:104', '1:105', '1:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",2,FENERBAHÇE BEKO,"[76, 89, 91, 95, 98]",76|89|91|95|98,Unknownx5,"['2:76', '2:89', '2:91', '2:95', '2:98']","['M. Mahmutoglu', 'O. Bitim', 'K. Birch', 'D. Hall', 'M. Jantunen']",0,0,0,0,,,0,0,0,0,,,4,8,4,8
59.1,96.0,1,06:18:00,1,04:32:00,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 105, 109]",38|103|104|105|109,Unknownx5,"['1:38', '1:103', '1:104', '1:105', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",2,FENERBAHÇE BEKO,"[76, 89, 91, 95, 98]",76|89|91|95|98,Unknownx5,"['2:76', '2:89', '2:91', '2:95', '2:98']","['M. Mahmutoglu', 'O. Bitim', 'K. Birch', 'D. Hall', 'M. Jantunen']",5,3,4,-1,60.0,80.0,5,4,3,1,80.0,60.0,4,8,7,15
96.1,114.0,1,04:32:00,1,04:06:00,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 105, 109]",38|103|104|105|109,Unknownx5,"['1:38', '1:103', '1:104', '1:105', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",2,FENERBAHÇE BEKO,"[76, 89, 91, 94, 98]",76|89|91|94|98,Unknownx5,"['2:76', '2:89', '2:91', '2:94', '2:98']","['M. Mahmutoglu', 'O. Bitim', 'K. Birch', 'W. Baldwin Iv', 'M. Jantunen']",3,1,2,-1,33.333333333333336,66.66666666666667,3,2,1,1,66.66666666666667,33.333333333333336,7,15,10,15
114.1,135.0,1,04:06:00,1,01:57:00,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 105, 109]",38|103|104|105|109,Unknownx5,"['1:38', '1:103', '1:104', '1:105', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",2,FENERBAHÇE BEKO,"[89, 92, 94, 99, 100]",89|92|94|99|100,Unknownx5,"['2:89', '2:92', '2:94', '2:99', '2:100']","['O. Bitim', 'N. Melli', 'W. Baldwin Iv', 'A. Bacot Jr', 'S. Vilbekin']",3,4,5,-1,133.33333333333334,125.0,4,5,4,1,125.0,133.33333333333334,10,15,14,20
135.1,139.0,1,01:57:00,1,01:57:00,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 107, 108]",38|103|104|107|108,Unknownx5,"['1:38', '1:103', '1:104', '1:107', '1:108']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'R. Meeks', 'C. Bishop']",2,FENERBAHÇE BEKO,"[89, 92, 94, 99, 100]",89|92|94|99|100,Unknownx5,"['2:89', '2:92', '2:94', '2:99', '2:100']","['O. Bitim', 'N. Melli', 'W. Baldwin Iv', 'A. Bacot Jr', 'S. Vilbekin']",0,0,0,0,,,0,0,0,0,,,14,20,14,20
139.1,151.0,1,01:57:00,1,01:52:00,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 107, 108]",38|103|104|107|108,Unknownx5,"['1:38', '1:103', '1:104', '1:107', '1:108']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'R. Meeks', 'C. Bishop']",2,FENERBAHÇE BEKO,"[89, 92, 93, 94, 100]",89|92|93|94|100,Unknownx5,"['2:89', '2:92', '2:93', '2:94', '2:100']","['O. Bitim', 'N. Melli', 'B. Colson ', 'W. Baldwin Iv', 'S. Vilbekin']",0,0,1,-1,,100.0,1,1,0,1,100.0,,14,20,14,23
151.1,163.0,1,01:52:00,1,00:53:90,1,GALATASARAY MCT TECHNIC,"[38, 103, 104, 107, 108]",38|103|104|107|108,Unknownx5,"['1:38', '1:103', '1:104', '1:107', '1:108']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'R. Meeks', 'C. Bishop']",2,FENERBAHÇE BEKO,"[77, 92, 93, 94, 100]",77|92|93|94|100,Unknownx5,"['2:77', '2:92', '2:93', '2:94', '2:100']","['J. Birsen', 'N. Melli', 'B. Colson ', 'W. Baldwin Iv', 'S. Vilbekin']",0,0,0,0,,0.0,1,0,0,0,0.0,,14,23,14,23
163.1,178.0,1,00:53:90,2,10:00:00,1,GALATASARAY MCT TECHNIC,"[70, 103, 106, 107, 108]",70|103|106|107|108,Unknownx5,"['1:70', '1:103', '1:106', '1:107', '1:108']","['R. Öncel', 'J. Palmer Jr', 'J. Robinson Jr', 'R. Meeks', 'C. Bishop']",2,FENERBAHÇE BEKO,"[77, 92, 93, 94, 100]",77|92|93|94|100,Unknownx5,"['2:77', '2:92', '2:93', '2:94', '2:100']","['J. Birsen', 'N. Melli', 'B. Colson ', 'W. Baldwin Iv', 'S. Vilbekin']",1,0,0,0,0.0,0.0,1,0,0,0,0.0,0.0,14,23,16,23
178.1,197.0,2,10:00:00,2,09:00:00,1,GALATASARAY MCT TECHNIC,"[70, 106, 107, 108, 109]",70|106|107|108|109,Unknownx5,"['1:70', '1:106', '1:107', '1:108', '1:109']","['R. Öncel', 'J. Robinson Jr', 'R. Meeks', 'C. Bishop', 'W. Cummings']",2,FENERBAHÇE BEKO,"[77, 92, 93, 94, 100]",77|92|93|94|100,Unknownx5,"['2:77', '2:92', '2:93', '2:94', '2:100']","['J. Birsen', 'N. Melli', 'B. Colson ', 'W. Baldwin Iv', 'S. Vilbekin']",2,2,0,2,100.0,0.0,1,0,2,-2,0.0,100.0,16,23,18,26
