team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,BAHÇESEHIR KOLEJI,BSK,77,B. Koprivica,8,,,1:77
1,BAHÇESEHIR KOLEJI,BSK,64,C. Coskun,10,,,1:64
1,BAHÇESEHIR KOLEJI,BSK,75,C. Homesley,5,,,1:75
1,BAHÇESEHIR KOLEJI,BSK,63,F. Haltali,14,,,1:63
1,BAHÇESEHIR KOLEJI,BSK,3,G. Bas,57,,,1:3
1,BAHÇESEHIR KOLEJI,BSK,78,H. Hale,77,,,1:78
1,BAHÇESEHIR KOLEJI,BSK,1,I. Akpinar,33,,,1:1
1,BAHÇESEHIR KOLEJI,BSK,61,K. Sipahi,55,,,1:61
1,BAHÇESEHIR KOLEJI,BSK,76,M. Mitchell Ii,11,,,1:76
1,BAHÇESEHIR KOLEJI,BSK,73,M. Ponitka,28,,,1:73
1,BAHÇESEHIR KOLEJI,BSK,74,T. Cavanaugh,34,,,1:74
1,BAHÇESEHIR KOLEJI,BSK,79,T. Williams,50,,,1:79
2,ESENLER EROKSPOR,ERK,19,A. Duverioglu,44,,,2:19
2,ESENLER EROKSPOR,ERK,20,E. Arna,18,,,2:20
2,ESENLER EROKSPOR,ERK,21,E. Gazi,7,,,2:21
2,ESENLER EROKSPOR,ERK,26,J. Crawford,1,,,2:26
2,ESENLER EROKSPOR,ERK,28,J. Love,22,,,2:28
2,ESENLER EROKSPOR,ERK,27,J. Simmons,11,,,2:27
2,ESENLER EROKSPOR,ERK,60,K. Pangos,4,,,2:60
2,ESENLER EROKSPOR,ERK,25,L. Galloway,9,,,2:25
2,ESENLER EROKSPOR,ERK,17,M. Akyel,41,,,2:17
2,ESENLER EROKSPOR,ERK,24,P. Cornelie,12,,,2:24
2,ESENLER EROKSPOR,ERK,15,T. Akyazili,14,,,2:15
2,ESENLER EROKSPOR,ERK,22,T. Thurman,15,,,2:22
