team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,BESIKTAS GAIN,1.0,54.0,"[68, 69, 70, 71, 74]",5,68|69|70|71|74,"['1:68', '1:69', '1:70', '1:71', '1:74']","['V. Brown', 'C. Morgan', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:68|1:69|1:70|1:71|1:74,Unknownx5,1,10:00:00,1,05:41:00,0,0,7,8
1,BESIKTAS GAIN,54.1,143.0,"[66, 67, 70, 72, 76]",5,66|67|70|72|76,"['1:66', '1:67', '1:70', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'J. Mathews', 'I. Kamagate', 'C. Kus']",1:66|1:67|1:70|1:72|1:76,Unknownx5,1,05:41:00,1,01:53:00,7,8,16,17
1,BESIKTAS GAIN,143.1,159.0,"[66, 67, 68, 72, 74]",5,66|67|68|72|74,"['1:66', '1:67', '1:68', '1:72', '1:74']","['B. Lemar', 'A. Brown', 'V. Brown', 'I. Kamagate', 'Y. Arslan']",1:66|1:67|1:68|1:72|1:74,Unknownx5,1,01:53:00,1,00:49:90,16,17,16,17
1,BESIKTAS GAIN,159.1,168.0,"[67, 68, 71, 72, 74]",5,67|68|71|72|74,"['1:67', '1:68', '1:71', '1:72', '1:74']","['A. Brown', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",1:67|1:68|1:71|1:72|1:74,Unknownx5,1,00:49:90,1,00:04:30,16,17,19,18
1,BESIKTAS GAIN,168.1,177.0,"[67, 68, 70, 71, 74]",5,67|68|70|71|74,"['1:67', '1:68', '1:70', '1:71', '1:74']","['A. Brown', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:67|1:68|1:70|1:71|1:74,Unknownx5,1,00:04:30,2,10:00:00,19,18,22,18
1,BESIKTAS GAIN,177.1,212.0,"[67, 68, 69, 71, 74]",5,67|68|69|71|74,"['1:67', '1:68', '1:69', '1:71', '1:74']","['A. Brown', 'V. Brown', 'C. Morgan', 'D. Dotson', 'Y. Arslan']",1:67|1:68|1:69|1:71|1:74,Unknownx5,2,10:00:00,2,08:17:00,22,18,26,21
1,BESIKTAS GAIN,212.1,246.0,"[66, 68, 69, 70, 74]",5,66|68|69|70|74,"['1:66', '1:68', '1:69', '1:70', '1:74']","['B. Lemar', 'V. Brown', 'C. Morgan', 'J. Mathews', 'Y. Arslan']",1:66|1:68|1:69|1:70|1:74,Unknownx5,2,08:17:00,2,05:52:00,26,21,32,25
1,BESIKTAS GAIN,246.1,272.0,"[1, 67, 68, 69, 70]",5,1|67|68|69|70,"['1:1', '1:67', '1:68', '1:69', '1:70']","['E. Adigüzel', 'A. Brown', 'V. Brown', 'C. Morgan', 'J. Mathews']",1:1|1:67|1:68|1:69|1:70,Unknownx5,2,05:52:00,2,04:26:00,32,25,36,27
1,BESIKTAS GAIN,272.1,295.0,"[1, 67, 68, 70, 72]",5,1|67|68|70|72,"['1:1', '1:67', '1:68', '1:70', '1:72']","['E. Adigüzel', 'A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate']",1:1|1:67|1:68|1:70|1:72,Unknownx5,2,04:26:00,2,02:44:00,36,27,41,30
1,BESIKTAS GAIN,295.1,309.0,"[1, 67, 70, 72, 76]",5,1|67|70|72|76,"['1:1', '1:67', '1:70', '1:72', '1:76']","['E. Adigüzel', 'A. Brown', 'J. Mathews', 'I. Kamagate', 'C. Kus']",1:1|1:67|1:70|1:72|1:76,Unknownx5,2,02:44:00,2,02:19:00,41,30,41,32
1,BESIKTAS GAIN,309.1,343.0,"[66, 67, 72, 74, 76]",5,66|67|72|74|76,"['1:66', '1:67', '1:72', '1:74', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'Y. Arslan', 'C. Kus']",1:66|1:67|1:72|1:74|1:76,Unknownx5,2,02:19:00,2,00:45:30,41,32,44,34
