gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,1,1,REGULAR,87,K. ALEXANDER,1,jumpball,5,4,[],won,0,7,Kyle John Solomon,Alexander,Kyle John Solomon,Alexander,K,A,K,A,K. Alexander,TÜRK TELEKOM,TTK,K. Alexander,7,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,2,1,REGULAR,105,F. GILLESPIE II,1,jumpball,6,4,[],lost,0,33,Frederick Maurice ,Gillespie Ii,Frederick Maurice ,Gillespie Ii,F,G,F,G,F. Gillespie Ii,GALATASARAY MCT TECHNIC,GSM,F. Gillespie Ii,33,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:47,09:47:00,0,0,0,1,1,REGULAR,80,M. DEVOE,0,3pt,7,,[],jumpshot,1,0,Michael Jaden,Devoe,Michael Jaden,Devoe,M,D,M,D,M. Devoe,TÜRK TELEKOM,TTK,M. Devoe,0,,,70.360000610352,67.800003051758,0.0,P3,missed,TÜRK TELEKOM M. DEVOE 3Pt missed,,,,,,,,,0,1,1.0,,0,0,0,0
09:44,09:44:00,0,0,0,1,1,REGULAR,5,D. ÖZDEMIROGLU,1,rebound,8,7,[],offensive,0,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,REB,,TÜRK TELEKOM rebound offensive,,,,,,,,,0,1,1.0,,0,0,0,0
09:40,09:40:00,2,0,2,1,1,REGULAR,87,K. ALEXANDER,1,2pt,9,,"['2ndchance', 'pointsinthepaint']",dunk,1,7,Kyle John Solomon,Alexander,Kyle John Solomon,Alexander,K,A,K,A,K. Alexander,TÜRK TELEKOM,TTK,K. Alexander,7,,,93.919998168945,47.459999084473,1.0,P2,made,TÜRK TELEKOM K. ALEXANDER 2Pt made,5.0,1.0,D. ÖZDEMIROGLU,,,,,,2,1,1.0,score,2,2,0,0
09:40,09:40:00,2,0,2,1,1,REGULAR,5,D. ÖZDEMIROGLU,1,assist,10,9,[],,0,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,ASS,,TÜRK TELEKOM D. ÖZDEMIROGLU assist,,,,,,,,,0,2,2.0,,0,2,0,0
09:21,09:21:00,2,0,2,2,1,REGULAR,71,C. KORKMAZ,0,3pt,11,,[],pullupjumpshot,1,8,Can,Korkmaz,Can,Korkmaz,C,K,C,K,C. Korkmaz,GALATASARAY MCT TECHNIC,GSM,C. Korkmaz,8,,,24.959999084473,20.340000152588,0.0,P3,missed,GALATASARAY MCT TECHNIC C. KORKMAZ 3Pt missed,,,,,,,,,0,2,2.0,def_reb,0,2,0,0
09:18,09:18:00,2,0,2,1,1,REGULAR,80,M. DEVOE,1,rebound,12,11,[],defensive,0,0,Michael Jaden,Devoe,Michael Jaden,Devoe,M,D,M,D,M. Devoe,TÜRK TELEKOM,TTK,M. Devoe,0,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,3,1.0,def_reb,0,2,0,0
09:07,09:07:00,2,0,2,2,1,REGULAR,105,F. GILLESPIE II,1,foul,14,,"['shooting', '2freethrow']",personal,0,33,Frederick Maurice ,Gillespie Ii,Frederick Maurice ,Gillespie Ii,F,G,F,G,F. Gillespie Ii,GALATASARAY MCT TECHNIC,GSM,F. Gillespie Ii,33,,,,,,FOUL,,GALATASARAY MCT TECHNIC F. GILLESPIE II foul personal,,,,,,,,,0,4,2.0,,0,2,0,0
09:07,09:07:00,2,0,2,1,1,REGULAR,5,D. ÖZDEMIROGLU,1,foulon,15,14,[],,0,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,OTHER,,TÜRK TELEKOM foulon,,,,,,,,,0,4,2.0,,0,2,0,0
09:07,09:07:00,3,0,3,1,1,REGULAR,5,D. ÖZDEMIROGLU,1,freethrow,16,,[],1of2,1,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,FT,made,TÜRK TELEKOM D. ÖZDEMIROGLU FT 1of2 made,,,,,,,,,1,4,2.0,made_ft,1,3,0,0
09:07,09:07:00,4,0,4,1,1,REGULAR,5,D. ÖZDEMIROGLU,1,freethrow,17,,[],2of2,1,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,FT,made,TÜRK TELEKOM D. ÖZDEMIROGLU FT 2of2 made,,,,,,,,,1,5,1.0,made_ft_last,1,4,0,0
